RCV,city,city_ascii,city_alt,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,population_proper,density,source,military,incorporated,township,timezone,ranking,zips,id,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran
,Bensville,Bensville,,MD,Maryland,24017,Charles,24017,Charles,38.6176,-77.0077,13208,13208,301,polygon,FALSE,TRUE,FALSE,America/New_York,3,20603 20675 20695,1840073595,41.4,10.8,16.2,10,9.8,22.2,16.2,8.8,5.1,1,45.4,54.6,59.5,8.4,28,4.2,3.25,67.7,131875,1.3,0.8,1.5,0.3,1.6,5.2,2,8.7,16.1,19.2,43.3,62.5,59167,93.7,343819,2257,19.6,4.6,23.8,31.2,24.1,16.4,40.5,45.3,73.8,4.3,40.6,52.5,2.5,0.2,1,0.6,2.6,5.1,7.4,3.9,0.2,47.3,3,16
,Hillcrest Heights,Hillcrest Heights,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.8373,-76.9641,16137,16137,2505,polygon,FALSE,FALSE,FALSE,America/New_York,2,20748,1840005957,37.8,11.4,10.2,15.5,14.7,12.3,14.8,11.8,6.7,2.5,46.8,53.2,27.2,18.5,48,6.3,3.47,45.6,61465,2.5,0.8,3.6,3.6,3.2,8.6,17.1,20.1,16,19.6,5,24.6,36682,48.1,209141,1570,23.8,10.3,34.9,36.1,11,7.8,18.8,36.2,70.7,9.7,4.6,89.9,0.4,0,0,2.8,2.3,5.7,12.1,9.8,1.5,37,9,8.4
,Bethesda,Bethesda,,MD,Maryland,24031,Montgomery,24031,Montgomery,38.9866,-77.1188,63168,63168,1839,polygon,FALSE,FALSE,FALSE,America/New_York,3,20814 20815 20816 20817 20810 20811 20824 20889 20892 20894,1840005826,43.4,12.3,12.5,9.9,10.7,15,14.2,12.5,7.7,5.3,46.8,53.2,59.2,8.4,26.6,5.9,3.12,62.1,154559,1,1,1.2,1.1,1.4,2.8,4.7,10.3,8.3,16.8,51.3,68.1,77566,67.3,876029,2676,15.7,1.7,4.7,9.9,27.8,55.9,83.7,55.4,68.7,3.4,80.9,3.8,11.1,0.1,0,0.5,3.5,7.2,7.2,2.8,3.2,29.3,2.5,5.9
,Annapolis Neck,Annapolis Neck,,MD,Maryland,24003,Anne Arundel,24003,Anne Arundel,38.9408,-76.4997,10841,10841,603,polygon,FALSE,TRUE,FALSE,America/New_York,3,21403 21037,1840039445,49.7,10.7,9.1,6.3,10.9,13.4,17.1,17.7,10.8,3.9,49.9,50.1,62.8,9.4,21.9,5.8,2.9,57.8,127358,0.4,1.4,0,0.3,0.8,5.3,4,16.1,11.1,21.9,38.6,60.5,58519,86.9,552401,2259,20.8,3.5,10,20.4,38.2,27.9,66.1,47.8,65.2,3.8,85.6,7.4,1.9,0,0,0.4,4.7,6.1,8.4,1.8,0.6,35.8,2.2,12.7
,Olney,Olney,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.1466,-77.0715,35766,35766,852,polygon,FALSE,FALSE,FALSE,America/New_York,3,20860 20832 20833 20853 20830,1840005836,42.1,11.1,14.7,11.8,9.8,13.1,18,12.4,6.4,2.9,48.4,51.6,60.3,8.3,27.7,3.8,3.36,70.9,136786,1.4,0.6,1.6,0.6,0.6,2.4,4.3,11.2,11.2,22.5,43.6,66.1,53817,91.4,491264,2169,18.3,5,10.2,22.6,31.3,30.9,62.2,51.5,71.1,2.8,71,10.5,12.4,0.4,0.1,1.9,3.7,9.5,7.1,3.1,3.3,34.5,2.2,7.2
,Accokeek,Accokeek,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.6745,-77.0023,11546,11546,162,polygon,FALSE,FALSE,FALSE,America/New_York,3,20601 20607,1840005943,43.3,9.8,14,9.8,11.1,19.2,15.6,13.6,4.4,2.5,47.4,52.6,55.9,10.3,30,3.8,3.37,69.1,118598,1.3,1.1,0.7,0.6,4.9,2.4,3.2,7.9,13.5,31.4,33,64.4,50965,90.3,361944,2549,24.8,5.5,26.6,26.4,21.9,19.6,41.5,42.7,72.9,5.7,18.9,65.1,7.1,0.8,0,2.4,5.8,2.9,7.9,3.1,0.9,40.7,4.3,15.4
,Owings Mills,Owings Mills,,MD,Maryland,24005,Baltimore,24005,Baltimore,39.4115,-76.7913,34231,34231,1386,polygon,FALSE,FALSE,FALSE,America/New_York,3,21117,1840005684,33.8,13.7,13.4,14.2,19.8,13.7,11.8,7.7,3.3,2.3,46.2,53.8,38.4,15.6,40.7,5.3,3.19,56.1,72609,2.5,1.2,2.8,1.6,2.1,6,14,22.3,13.9,20.1,13.6,33.7,37987,46.4,245231,1678,21.1,8.1,17.1,26.4,30.5,17.9,48.4,51.5,73.4,5.3,31,52.4,9,0.3,0,0.9,6.4,9.1,7.8,8.1,4.8,33.6,10.2,5.9
,Parkville,Parkville,,MD,Maryland,24005,Baltimore,24005,Baltimore,39.3832,-76.5519,31762,31762,2862,polygon,FALSE,FALSE,FALSE,America/New_York,2,21234,1840005685,35.8,14.2,10.1,16.9,13.4,11.9,13,11.9,4.9,3.8,46.1,53.9,42.5,13.1,38.6,5.8,3.12,56,60004,3.1,1.9,5.3,3.6,3.9,10.2,13.2,19.9,14,16.4,8.4,24.8,35148,61.3,196338,1183,19.1,9,31.7,31.7,17.6,10,27.6,41,69.9,6.3,59.5,33.8,3.6,0.2,0.1,0.7,2.1,4.3,11.1,11.1,2,29.2,7.7,7.2
,Calverton,Calverton,,MD,Maryland,24031,Montgomery,24031|24033,Montgomery|Prince George's,39.0578,-76.9488,18145,18145,1527,polygon,FALSE,FALSE,FALSE,America/New_York,3,20705 20904,1840031445,46,9.3,9.8,12,11,12.8,14.4,9.4,8.1,13.1,42.4,57.6,47.7,10.3,30.2,11.7,3.43,62,82676,2,2.3,1.9,1.1,2.7,5.8,11.1,18.3,13.9,18.8,22.2,41,42468,63.1,330558,1729,18.9,8.6,17.4,20.9,28.9,24.1,53,56.3,62.9,6.1,32.8,38.6,15.6,0.1,0,6.6,6.3,15.2,12.1,4,3.8,37.4,6.6,7.4
,Hagerstown,Hagerstown,,MD,Maryland,24043,Washington,24043,Washington,39.6402,-77.7217,185704,40306,1279,polygon,FALSE,TRUE,FALSE,America/New_York,2,21740 21742 21741 21747 21749,1840005613,34.6,15.7,12.7,14.5,14,13.2,13.2,8.9,4.7,3.3,47,53,38.8,17.2,36.9,7.1,3.08,43.6,40761,4.5,7.7,7.6,7.4,7,11.1,12.8,18.5,12,8.1,3.4,11.5,23219,39.5,148014,1051,20.5,16.7,36.6,29.6,11,6.1,17.1,44.6,63.7,9.5,70.2,17.7,2.5,0.3,0,2.2,7.1,7.6,18.9,27.2,1.6,26,9.5,8.2
,Gaithersburg,Gaithersburg,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.1346,-77.2132,68710,68710,2571,polygon,FALSE,TRUE,FALSE,America/New_York,2,20878 20899 20879 20877 20883 20884 20885 20898,1840005848,35.7,14.7,11,13.3,18.2,14,11.9,9,4.4,3.3,48.9,51.1,50.2,12.4,33.6,3.8,3.3,60.1,85773,2,2,2.1,1.9,3.4,6.8,9,16.3,14.1,20.3,22.1,42.4,40125,52.2,380343,1938,20.1,12.9,14.7,19.1,26.6,26.7,53.3,56.5,74,6.6,48.2,18,18,0.3,0,11.5,3.9,25.8,7.5,9.5,10.8,33.1,11.4,4.8
,Friendly,Friendly,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.7601,-76.9642,10200,10200,807,polygon,FALSE,FALSE,FALSE,America/New_York,3,20744,1840005954,42.8,11.1,10.6,12.6,11.7,16.4,15,13.4,6.1,3.1,49.7,50.3,46.6,13.5,33,6.9,3.72,67.3,119133,1.1,1.1,1.3,1.1,1.6,4.8,4,11.9,13.9,26.9,32.3,59.2,44389,92.2,288884,2015,19.9,11.3,24.8,34.3,19.8,9.8,29.6,32.6,71.3,6.9,14.8,71.4,3,0,0.1,7.6,3.1,17,8.4,7.4,1.7,44.1,12.6,13.8
,Brooklyn Park,Brooklyn Park,,MD,Maryland,24003,Anne Arundel,24003,Anne Arundel,39.217,-76.6174,14833,14833,1360,polygon,FALSE,FALSE,FALSE,America/New_York,3,21225,1840031312,38.8,13.6,11.5,12.5,13.9,15.6,13.4,11,5.6,3,50,50,41.8,15.2,35.2,7.9,3.38,50.1,57424,5.4,2.5,3.2,4.9,5,9.6,12,17.4,18.4,13.7,7.9,21.6,28133,76.2,193958,1142,20.7,16.6,40.7,27.7,10.3,4.6,14.9,48.6,64,9.7,67.9,16.6,3.4,0.7,0.1,4.8,6.5,12.7,17.4,15.4,3.5,27.3,8.4,10.1
,Joppatowne,Joppatowne,,MD,Maryland,24025,Harford,24025,Harford,39.4181,-76.3516,12686,12686,727,polygon,FALSE,FALSE,FALSE,America/New_York,3,21085,1840005665,37.7,10.8,12.3,15.1,13.6,13.5,14.9,10.1,6.7,3,49.1,50.9,51.5,13.7,28.6,6.2,3.04,63.6,75438,1.4,3.7,2.6,2.9,2.9,4.2,9.1,22.8,16.3,21.9,12.1,34,37336,80.9,256749,1495,21.6,8.3,31.6,29.1,22.4,8.7,31.1,43.6,72.5,5.1,77.2,15.5,2,0,0,2.7,2.6,6.9,9.4,8.2,0.5,34,3.7,9.5
,Princess Anne,Princess Anne,,MD,Maryland,24039,Somerset,24039,Somerset,38.2053,-75.6969,11262,3564,823,polygon,FALSE,TRUE,FALSE,America/New_York,3,21853,1840006279,29.6,12.3,11.3,26.9,16.1,7.7,11.1,10.3,3.3,1,44.7,55.3,25.8,14.7,54.9,4.6,3.18,43.5,30222,17.5,12.6,3.3,6.2,5.5,9.4,8.6,18.6,14.3,2.9,1.1,4,18595,33.1,153849,1167,23.9,11.9,27.5,39.8,16.9,3.8,20.7,66.4,58.3,16.4,31.6,65.7,1.2,0,0,0,1.4,0.1,12.5,35.1,2.2,18.8,9.4,9.9
,Lexington Park,Lexington Park,,MD,Maryland,24037,St. Mary's,24037,St. Mary's,38.2543,-76.4415,11937,11937,819,polygon,FALSE,FALSE,FALSE,America/New_York,3,20653,1840006231,30.5,16.7,10.9,21.1,20.4,11.2,10.8,5.5,2.7,0.5,46.9,53.1,40.5,18.4,39.3,1.9,3.29,45.7,67097,2.9,1.8,4.3,2,2.8,6.2,13.1,24.2,13.1,18.6,10.9,29.5,37484,39.7,195448,1519,20.1,11.5,23.5,40,19.3,5.6,24.9,56,71.1,4.6,54.9,33.3,5.9,0,0,1.9,4,5.9,10,13.7,1.8,27.6,6.4,16.2
,Silver Spring,Silver Spring,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.0028,-77.0207,79483,79483,3892,polygon,FALSE,FALSE,FALSE,America/New_York,2,20910 20912 20901 20903 20907 20911 20993 20997,1840005845,34.6,14.2,9.7,16.5,19.2,14.3,11.1,9,4,1.8,49.1,50.9,44.3,10.3,42.4,3,3.32,62.9,76608,3,2.2,2.5,3,2.5,7.5,11.3,17.2,12.7,19.3,18.8,38.1,40175,35.9,476980,2076,19.7,14.6,14.5,16.8,23.5,30.7,54.2,54.4,77.4,7,41.1,27.9,7.4,0.4,0,19.3,3.9,28.1,7.5,11,9.4,34.9,13.2,4.3
,Walker Mill,Walker Mill,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.8754,-76.8862,11569,11569,1414,polygon,FALSE,FALSE,FALSE,America/New_York,3,20743 20747,1840031499,37.4,11.4,10.5,15.1,16.3,13.2,12.1,10.6,6.7,4,44.3,55.7,23.8,18.1,49.7,8.5,3.16,49.5,65466,3.6,3.2,6.3,3.1,3.8,7.9,11.3,20.7,15.9,14.1,10.1,24.2,35278,57.1,229987,1706,24.8,13.9,35,31.5,8.7,10.9,19.6,45.5,68,11.4,3.9,90.6,0.8,0.8,0,1.5,2.4,5,12.9,13.2,1,38.3,9.3,7.4
,Edgewood,Edgewood,,MD,Maryland,24025,Harford,24025,Harford,39.421,-76.2968,25858,25858,561,polygon,TRUE,TRUE,FALSE,America/New_York,3,21009 21010 21040,1840005661,34.3,16.4,13.5,14.3,14.4,12.2,13.1,9,4.2,2.6,45.9,54.1,42.2,15.4,37.1,5.3,3.33,51.1,56632,5,3.4,5.1,3.4,4.8,11.5,10.2,17.7,11.5,17.7,9.9,27.6,28902,69.4,170081,1256,21.5,9.1,34.7,36.1,11.3,8.7,20,54.8,67.1,6.8,48,40.4,1.2,0.1,0,4.3,5.9,8.7,12.8,13.6,2,31.7,6,11.4
,Kettering,Kettering,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.8888,-76.789,13282,13282,933,polygon,FALSE,FALSE,FALSE,America/New_York,3,20774,1840005958,46.4,9.3,8.8,11.3,11.1,16.7,13.8,15.9,7.7,5.3,43.1,56.9,38.2,16.2,38.3,7.3,3.29,58.1,84846,2.1,1.6,0.5,2,1.4,3.3,8.7,23.1,16,22.3,19.1,41.4,48365,82.5,266066,1923,24,4.1,21.3,33,23.6,18,41.6,42.7,65.6,9.9,3.9,91.8,2.4,0.1,0,0.3,1.5,1.9,11,5.6,1.5,38.7,4.2,10.1
,Overlea,Overlea,,MD,Maryland,24005,Baltimore,24005,Baltimore,39.3642,-76.5176,12014,12014,1544,polygon,FALSE,FALSE,FALSE,America/New_York,3,21236 21234 21206,1840005683,41.1,9.6,12.4,11,15.6,12,16.8,10,6.4,6.3,47.6,52.4,44.9,15.9,31.5,7.8,3.17,61.6,64699,1.1,2.2,3.3,4.6,2.9,7.9,12.9,22.5,12.6,19.5,10.5,30,36995,69.4,195247,1419,22.4,6.4,33.5,30.5,16.9,12.7,29.6,40.1,70.4,3.9,67.5,21.6,5.2,0,0.1,1.2,4.2,4.4,10.9,6.4,1.2,27.8,5.2,5.8
,North Laurel,North Laurel,,MD,Maryland,24027,Howard,24027,Howard,39.1286,-76.8476,24510,24510,1460,polygon,FALSE,FALSE,FALSE,America/New_York,3,20723,1840031495,32.7,17.1,14.9,13.8,16.8,15.5,13.7,5.4,2,0.7,48.9,51.1,54.3,8.7,34.8,2.2,3.54,74.2,94974,1.2,1.1,1.6,1,2.9,5.8,8.3,16.1,14.6,21.6,25.8,47.4,44847,56.8,343438,2038,19.5,4.7,20.6,26.4,26.7,21.7,48.4,54.9,80.5,5.9,39,34.1,17.1,0,0.1,3.3,6.3,11.5,5.1,6.2,3.7,34.4,10.7,6.5
,Potomac,Potomac,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.0141,-77.1943,45780,45780,703,polygon,FALSE,FALSE,FALSE,America/New_York,3,20817 20854 20827 20859,1840005837,47.3,10.7,16.2,6,7.3,14.3,15.9,14.5,9.9,5.2,48.1,51.9,67.2,6,22.2,4.5,3.17,57.1,187568,1.3,1.2,1.2,1,1.1,2.2,3.3,6.9,6.5,14.6,60.7,75.3,75699,88,893920,2844,16.8,2.6,6.1,10.7,30,50.6,80.6,57.6,62.3,3.1,71.5,5.8,19.6,0.1,0.1,0.7,2.2,8.3,6.8,3.3,5.7,33.6,2.6,5.7
,Fort Meade,Fort Meade,,MD,Maryland,24003,Anne Arundel,24003,Anne Arundel,39.1058,-76.7438,10088,10088,474,polygon,TRUE,TRUE,FALSE,America/New_York,3,20755,1840073581,24.3,23.3,13.4,28.8,18.9,9,4.5,1.6,0.3,0.2,56.9,43.1,60.2,5.4,33.2,1.2,3.53,47.9,71045,2.1,0.6,0.6,2.2,2.7,5.6,18.9,21.6,14.9,17.8,13,30.8,36156,2.3,,,,3.4,14.4,42,29.4,10.8,40.2,44.5,71.2,10.4,61.4,22,5,0.3,0,2,9.3,12.3,7.3,7.7,0.5,19.3,3.2,38.7
,Germantown,Germantown,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.1755,-77.2643,91447,91447,2073,polygon,FALSE,FALSE,FALSE,America/New_York,2,20876 20874 20875,1840005840,34.9,15.4,13.6,13,16.1,15,15.5,7.2,3.1,1.1,49.3,50.7,51.2,11.8,33.7,3.3,3.46,63.9,89720,3.2,1.9,1.5,1.4,1.6,4.7,9.3,17.9,14.2,20.1,24.4,44.5,43354,64.5,326281,1838,19.9,9.2,15.3,25.3,26.8,23.4,50.2,55.6,76.6,4.8,46.1,24.8,19.3,0.5,0,5.2,4.1,22.4,7.6,7.2,6.3,36.4,8,4.6
,Frederick,Frederick,,MD,Maryland,24021,Frederick,24021,Frederick,39.4336,-77.4157,154972,71408,1190,polygon,FALSE,TRUE,FALSE,America/New_York,2,21705 21703 21702 21701 21709,1840005710,35.3,13,12.6,15.5,15.3,13.5,13.2,8.9,4.7,3.3,48.3,51.7,46.8,13,34.5,5.8,3.12,59.6,67828,2.5,2.4,2.7,2.6,3.5,7.3,12.7,20.9,14.5,17.6,13.3,30.9,35078,55.2,255146,1641,21.3,10.1,22.1,28.5,22.1,17.2,39.3,50.2,72.6,5.6,67.2,18.1,6.8,0.4,0.1,2.5,5,15.9,11.7,11.4,4.4,31.9,8.2,8.6
,Mitchellville,Mitchellville,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.9358,-76.8146,10924,10924,854,polygon,FALSE,FALSE,FALSE,America/New_York,3,20720 20721,1840005951,42.5,9.6,13.6,12.4,11.8,12.8,17.5,13.1,6.1,2.9,44.5,55.5,46.3,11.7,36.5,5.4,3.5,65.8,120393,0.9,0.8,1.8,0.3,2,2.8,6.6,13.3,9.4,26.5,35.5,62,51078,92,321620,2276,22.5,4.1,15.9,34.9,24.3,20.8,45.1,49.6,74.3,7.2,9,82.9,2.1,0,0,2.5,3.5,5.8,8.8,4.4,1.3,37.3,4.5,9.3
,Waldorf,Waldorf,,MD,Maryland,24017,Charles,24017,Charles,38.6085,-76.9195,73223,73223,779,polygon,FALSE,FALSE,FALSE,America/New_York,3,20601 20603 20602 20695 20604,1840006175,35.3,13.9,14.9,13.5,14.9,15.4,13.8,8.8,3.2,1.7,47,53,46.1,13,36.7,4.3,3.31,59,91426,2.7,1.4,2,2.3,2.2,5.8,7.2,16.5,15.9,24.9,19.2,44.1,46498,68.9,257308,1858,21.2,6.5,29.9,35.2,16.6,11.9,28.5,40.2,71.8,4.5,31.8,57,3.9,0.6,0,0.9,5.7,6.6,8.2,7.3,1.7,44.5,3.7,14.6
,Coral Hills,Coral Hills,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.8709,-76.9234,10512,10512,2720,polygon,FALSE,FALSE,FALSE,America/New_York,2,20743,1840005950,36.3,14.1,12.5,13.8,15.9,14.5,12.4,9.8,5.5,1.5,44.8,55.2,25.3,17.5,50.6,6.7,3.75,51.4,56611,2.7,3,3.7,2.3,5.7,6.2,18,26,11.9,13.8,6.7,20.5,30601,59.3,191133,1502,26,16.4,39.1,28.9,10.6,5,15.6,32.2,72.3,12.7,6.2,90.2,0.2,0.6,0,1.2,1.6,6.6,11.4,13.5,1.5,37.4,12.1,6.3
,Rossville,Rossville,,MD,Maryland,24005,Baltimore,24005,Baltimore,39.3572,-76.4767,15219,15219,1091,polygon,FALSE,FALSE,FALSE,America/New_York,3,21236 21237,1840031398,36.8,13.4,10.3,15,17.3,12,12,11.5,5.4,2.9,46.7,53.3,39.3,14.7,38.1,7.9,3.32,55.5,62679,1.3,1.8,1.8,3,4.4,7.9,15.4,23,15.2,16.4,9.8,26.2,35859,50,229909,1438,21.6,12.6,28.3,30.6,17,11.4,28.4,51.1,69.8,4.3,50.2,33.9,8.5,0.3,0,4.6,2.6,14.3,9.9,7,3.8,29.9,14.2,8.5
,Rosaryville,Rosaryville,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.7672,-76.8266,10844,10844,455,polygon,FALSE,FALSE,FALSE,America/New_York,3,20623 20772,1840005952,44.2,8,13.3,13.7,10,14.6,20.8,11.5,6.1,1.7,49.3,50.7,50.7,10.7,35.2,3.4,3.44,68.6,120052,0.9,1.4,0.9,0.8,1.9,2.2,2.3,12,13.8,31.1,32.7,63.8,52782,95.9,309431,2239,21.7,5.6,25.9,31.5,21.7,15.3,37,43,71.2,6.9,12.7,81.4,1.7,0,0.2,1.9,2.2,2.6,9.3,4,1.2,42.5,3.8,14.4
,Seabrook,Seabrook,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.9802,-76.8502,17808,17808,2234,polygon,FALSE,FALSE,FALSE,America/New_York,2,20706 20703,1840024547,37.1,14.5,13.7,13.2,14.5,13.8,12.7,10.4,4.8,2.4,47,53,39.1,14.6,40.7,5.5,3.74,61.4,69890,1.3,2.1,1.9,2.5,2.5,6.7,13.5,23.8,16.1,17.6,12,29.6,35894,58.2,262873,1707,24.2,11.9,28.7,29.7,18.2,11.5,29.7,49.4,68,8,12.5,70.3,5.5,0.5,0,9.4,1.7,13.9,10.2,9.4,8.6,34.1,13.3,5
,Montgomery Village,Montgomery Village,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.1783,-77.1957,33565,33565,3261,polygon,FALSE,FALSE,FALSE,America/New_York,2,20886,1840005834,35.3,15.8,12,13.7,15.5,13.7,14.6,8.8,4.2,1.9,48.6,51.4,48.1,12.7,35.6,3.7,3.34,60.5,77034,2.6,1.4,2.7,2.9,2.3,8.3,10.7,18.2,11.3,19.8,19.8,39.6,36432,68.2,289369,1656,19.6,11.3,19.6,25.9,22.5,20.7,43.2,54.1,73.1,5.9,50,23.1,12.2,0.1,0,8.8,5.7,30.6,7.6,11.1,10.5,37.7,12,5.1
1,Takoma Park,Takoma Park,,MD,Maryland,24031,Montgomery,24031,Montgomery,38.981,-77.0028,17885,17885,3303,polygon,FALSE,TRUE,FALSE,America/New_York,2,20912 20913,1840005850,38.4,14.4,11.5,12.3,14.6,16.1,13.3,11.8,3.8,2.2,47.3,52.7,48.4,10.8,36,4.8,3.16,67.4,87115,1.8,2.3,1.8,3,3.6,6.2,10.1,15.5,10.2,16.2,29.2,45.4,40555,54,544523,2268,19.3,9.8,15.9,16.8,22.9,34.6,57.5,48.6,77.9,6.5,49.2,34.8,5.8,0.2,0,5.5,4.5,10.8,7.5,8,7.5,36.8,9.4,4.1
,Suitland,Suitland,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.8492,-76.9225,24927,24927,2266,polygon,FALSE,FALSE,FALSE,America/New_York,2,20746 20747 20752 20790,1840031466,32.9,15.6,12.1,17.6,13.9,14.2,12.6,8.5,4.1,1.4,45,55,25.5,17.4,52.6,4.5,3.25,48.3,59284,2.6,3.7,2.2,4.9,5,8.2,13.7,22.8,15.2,14.4,7.2,21.6,32294,36,201625,1419,23,11.9,38.5,33.6,10.9,5.1,16,38.2,76.6,9.5,3.5,90.6,0.7,0.4,0,4.1,0.7,6.1,9.1,11.5,2.3,35.1,10.2,7
,Bel Air,Bel Air,,MD,Maryland,24025,Harford,24025,Harford,39.5348,-76.346,10037,10037,1276,polygon,FALSE,TRUE,FALSE,America/New_York,3,21014,1840005668,42.2,9.8,12.8,9.9,13.5,13.5,14.4,11.6,8.4,6.1,48.1,51.9,51.2,14.1,27.2,7.5,2.89,56.8,68196,1.4,3.6,3.6,2,4.3,6.8,15.9,17.1,15.4,18.5,11.4,29.9,39842,66.4,238660,1269,18.8,5.8,22.6,31.3,22.6,17.7,40.3,48.5,67.3,4.2,86.6,5,4.8,0,0,1.7,1.9,3.3,11.8,7.6,1.4,28.4,5.6,10.9
,Burtonsville,Burtonsville,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.1166,-76.9356,10428,10428,513,polygon,FALSE,FALSE,FALSE,America/New_York,3,20868 20866,1840005827,35.9,13.3,13.6,15.7,12,12.9,15.2,10.7,4.2,2.4,42.5,57.5,48.8,10.8,36,4.4,3.86,72.7,104253,0,3.3,0.2,0.3,2.1,3.3,10.1,12,16.8,20.4,31.6,52,37374,72.3,383645,2010,20.2,10.8,14.3,22.4,30.3,22.2,52.5,61.7,77.9,6.9,24.9,46.6,15.7,0,0,8.6,4.1,11.4,7.6,3,4.1,34.6,10.7,4.9
,Chesapeake Beach,Chesapeake Beach,,MD,Maryland,24009,Calvert,24009,Calvert,38.6881,-76.5448,24565,5962,854,polygon,FALSE,TRUE,FALSE,America/New_York,3,20732,1840006151,34.5,16.8,14.3,10.8,17.2,13,11,10.9,4.3,1.6,47.7,52.3,51.1,15.3,28.6,5,3.37,57.5,102679,0.7,5.2,3.7,0,0.3,3.1,12.8,11.4,10.3,28.9,23.6,52.5,40422,72.2,313045,1898,18.9,5.8,25.9,32.7,16.8,18.8,35.6,38.4,73.5,7.3,83.9,8,1.4,0,0,0,6.7,2.9,9.6,8.3,0,42.1,7.2,13.2
,Columbia,Columbia,,MD,Maryland,24027,Howard,24027,Howard,39.2004,-76.859,103170,103170,1247,polygon,FALSE,FALSE,FALSE,America/New_York,2,21044 21045 21046 21029 21150,1840005803,37.7,12.2,12.5,13,15.2,13.8,13.3,11.1,6.2,2.7,49.1,50.9,51.6,11,32.5,4.8,3.16,62.8,103707,1.9,1.3,2.3,2.1,1.9,4.1,6.1,13.9,13.9,22.8,29.5,52.3,52055,66.8,367637,1991,18.7,4.3,12.1,20.5,32,31.2,63.2,56.3,73.2,4.8,53.7,27.5,12.4,0.2,0,1.5,4.6,8.3,8,7.4,2.6,30.6,4.7,8
,Laurel,Laurel,,MD,Maryland,24033,Prince George's,24033|24003|24027,Prince George's|Anne Arundel|Howard,39.095,-76.8622,25906,25906,2077,polygon,FALSE,TRUE,FALSE,America/New_York,2,20707 20725 20797,1840005976,35.2,15.4,10.1,15.2,15.8,16.5,13.2,9,2.9,1.8,48.6,51.4,41.1,14.5,40.8,3.6,3.48,60.9,72726,1.6,1.3,2.1,2.4,4.1,5.5,12.7,22.2,14.5,17.1,16.4,33.5,43994,46.4,239627,1792,22.7,9.6,20.8,27,24.6,18,42.6,52.6,77.8,5.7,30.8,51,7.6,0.4,0,6.5,3.8,15.2,8.4,8,5,34.2,10.6,7.4
,Clarksburg,Clarksburg,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.2314,-77.2617,22100,22100,1038,polygon,FALSE,FALSE,FALSE,America/New_York,3,20841 20876 20871,1840005830,34,19.8,16.1,7.9,18.3,17.9,12,4.4,3,0.7,50.2,49.8,68.5,7.5,22,2,3.68,73,135203,0.5,0.7,1.9,0.9,1,2.4,3.5,7.8,12.7,25.7,42.8,68.5,66090,85.1,454344,2554,20.7,4.9,9.3,18.3,33.4,34.1,67.5,62.5,78.5,4.6,35.1,17.8,35.5,0.8,0,4.4,6.4,13.4,4.1,5.7,4.6,42.6,4.9,4.5
,Dundalk,Dundalk,,MD,Maryland,24005,Baltimore,24005,Baltimore,39.2703,-76.4942,62516,62516,1847,polygon,FALSE,FALSE,FALSE,America/New_York,3,21222 21224,1840005681,39.7,11.9,12.4,13.7,12.3,12.5,14.8,11.6,6.6,4.3,47.9,52.1,38.8,15.6,36.9,8.8,3.33,48,51098,3.6,3.3,4.9,4.8,4.8,11.8,15.6,21.8,12.4,11.4,5.5,16.9,26527,65.6,141004,951,20.1,19.5,42.3,26.3,8,3.9,11.9,41.7,61.6,7.6,78.7,11.1,3.6,1.2,0.1,1.1,4.1,6.3,18.3,13.8,2,27.5,9.4,8.1
