RCV,city,city_ascii,city_alt,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,population_proper,density,source,military,incorporated,township,timezone,ranking,zips,id,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran
,Grants,Grants,,NM,New Mexico,35006,Cibola,35006,Cibola,35.1538,-107.8335,11925,9011,233,polygon,FALSE,TRUE,FALSE,America/Denver,3,87020,1840020452,35.1,14.3,12.8,13.9,15.5,12.1,9.5,9.9,8.3,3.7,49.5,50.5,41.4,18.4,32.8,7.4,2.97,33.8,35671,7.7,4.7,8.6,8.5,7.2,12.4,16.4,14.7,10.9,5.2,3.8,9,21289,56.1,101710,454,11.5,19.7,30.5,35.1,10.4,4.3,14.7,42.2,52.9,12.1,63.6,1.8,0.5,19.2,0,11.7,3.2,49.8,20.2,26.7,8.1,16.8,11.2,10.1
,Carlsbad,Carlsbad,,NM,New Mexico,35015,Eddy,35015,Eddy,32.4013,-104.2388,32848,28774,356,polygon,FALSE,TRUE,FALSE,America/Denver,3,88220 88221,1840019444,35.8,14.1,13.6,14.3,12.5,12.6,12.4,11.3,5.3,3.8,51,49,46.1,17.5,29.6,6.8,3.05,50.6,62932,3.7,2.9,2.8,3.9,5.9,7.4,16.7,18.8,14.5,16.6,6.9,23.5,28899,68.8,130313,730,12.9,12.8,37.4,32,9.8,8.1,17.9,45.6,64.9,4.7,91.7,2.1,0.3,0.6,0,3.5,1.8,47.2,13.8,15,2.4,18.3,11.3,9.7
,Portales,Portales,,NM,New Mexico,35041,Roosevelt,35041,Roosevelt,34.1753,-103.3566,12167,11850,578,polygon,FALSE,TRUE,FALSE,America/Denver,3,88130,1840020529,27.1,13.6,16,24.5,13.1,8,8.7,7.4,3.6,5.1,51.5,48.5,39.3,10.2,43.5,7,3.2,43.7,32065,6,10.7,8.1,9.5,9.8,8.3,16.4,10.9,11.3,7.7,1.2,8.9,16924,56,115912,621,17.8,19,24.4,30.2,14.4,11.9,26.3,28.3,61.5,12.6,69.8,4.8,0.7,0.9,0,18.8,4.9,43.7,20,30.9,5,16.8,12.4,9.3
,Gallup,Gallup,,NM,New Mexico,35031,McKinley,35031,McKinley,35.5183,-108.7423,23415,21960,424,polygon,FALSE,TRUE,FALSE,America/Denver,3,87301 87322,1840020395,29.5,19.2,18.3,13,11.2,11.5,9.8,9.3,4.6,3,47.8,52.2,39.5,10.8,43.7,6.1,4.08,45.1,43598,8.5,7.2,8.2,7.5,4.7,11.4,6.3,18.9,7.4,13.6,6.3,19.9,23478,60,116306,707,14.9,19.2,27.9,32.6,9,11.2,20.2,44.6,59.9,9.2,41.3,1.4,2.1,41.8,0.1,6.3,7,34.7,14.4,29.9,4.3,12.2,17.2,9.7
,Española,Espanola,,NM,New Mexico,35039,Rio Arriba,35039|35049,Rio Arriba|Santa Fe,36.0041,-106.0669,25913,10029,496,polygon,FALSE,TRUE,FALSE,America/Denver,3,87567 87532 87533,1840020348,36.8,17.7,12.1,13.3,10.8,11.8,13,11,5.8,4.4,47.6,52.4,36,14.3,42.2,7.4,3.83,30.9,27350,15.8,6.3,9.6,8.9,6.3,11,11.2,14.9,6.4,4.6,4.8,9.4,21368,55.7,145404,497,14.7,20.4,34.8,29.4,9.5,6,15.5,36,51.7,8.6,69.6,1.4,1.2,2,0,22.3,3.6,86.2,16.1,34.5,6.3,24.1,13.8,6.1
1,Santa Fe,Santa Fe,,NM,New Mexico,35049,Santa Fe,35049,Santa Fe,35.6619,-105.9819,110078,83776,619,polygon,FALSE,TRUE,FALSE,America/Denver,2,87505 87507 87501 87502 87503 87509,1840021707,42.8,10.8,11.2,11.6,12.9,12.4,13.8,14.4,8.4,4.4,47.6,52.4,40.8,18.1,35.2,5.8,3.09,46.9,53922,4.2,2.8,4.2,5,4.7,11,13.8,19.5,11.6,12.5,10.6,23.1,31257,62.5,265329,1050,19.5,11.8,22.8,23.5,21.2,20.8,42,43.1,62.3,5.6,84.8,0.9,1.3,2.1,0.1,7.8,3,54.7,13.8,15.1,5.1,19.1,15.2,7.3
,Aurora,Aurora,,CO,Colorado,8001,Adams,08001|08005,Adams|Arapahoe,39.7084,-104.7274,366623,366623,921,polygon,FALSE,TRUE,FALSE,America/Denver,2,80247 80137 80045 80018 80019 80016 80017 80014 80015 80012 80013 80010 80011 80040 80041 80042 80044 80046 80047 80251,1840018794,34.2,14.7,13.6,14.7,15.4,14.2,11.8,9.2,4.2,2.2,48.8,51.2,46.4,14.5,34.7,4.4,3.43,57.9,58343,2.6,2.2,3.6,3.5,4.7,10,15.4,20.7,14.3,14.5,8.4,22.9,30722,57.6,230861,1285,20.4,13,26.3,32.2,19.4,9.1,28.5,43.4,71.2,6,61.2,15.7,6,0.8,0.3,10.7,5.3,28.6,9.8,13.7,8.2,29.3,13.9,8.8
,Golden,Golden,,CO,Colorado,8059,Jefferson,8059,Jefferson,39.7406,-105.2118,20571,20571,823,polygon,FALSE,TRUE,FALSE,America/Denver,3,80401 80403 80419 80402,1840020197,32,8.7,13.7,24.5,14.6,11.9,10.7,9.1,3.3,3.5,57.6,42.4,37.3,13.6,45.3,3.8,2.91,61.3,61918,3.8,4.2,4.8,3.5,4.7,9.3,11.5,14.5,9.8,14.6,19.3,33.9,26198,55.4,435847,1370,16.4,5.3,15.3,23.6,32.4,23.4,55.8,56.8,59.9,4.3,90.8,1.6,2.8,0.4,0,0.7,3.8,6.1,7.2,19.7,1.7,24.1,5.6,5.9
,Louisville,Louisville,,CO,Colorado,8013,Boulder,8013,Boulder,39.9709,-105.1441,21128,21128,1022,polygon,FALSE,TRUE,FALSE,America/Denver,3,80027,1840020179,43.1,12.4,13.3,8.6,10.5,15.8,17.5,12.4,4.7,4.8,48,52,57.8,12,25.2,5,3.02,62.5,94784,2.7,1.3,1.2,2.1,2.7,6,8,16.7,11.5,20.3,27.5,47.8,46225,70.6,484654,1598,16.2,2.7,8.8,17.3,35.1,36.1,71.2,55.5,70.1,4.1,91.3,0.2,5.5,0.2,0,0.5,2.3,5.7,7.9,5.8,1.2,22.1,2.9,6.2
,Denver,Denver,,CO,Colorado,8031,Denver,8031,Denver,39.7621,-104.8759,2787266,704621,1774,polygon,FALSE,TRUE,FALSE,America/Denver,1,80264 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80219 80210 80211 80212 80216 80221 80220 80223 80222 80224 80227 80209 80207 80206 80205 80204 80202 80014 80203 80208 80217 80243 80244 80248 80250 80256 80257 80259 80261 80262 80265 80266 80271 80273 80274 80281 80291 80299,1840018789,34.4,12.4,10,17.7,19.5,13.3,10.9,8.9,4.4,2.9,50,50,39.2,14.4,42.2,4.2,3.22,57.2,60098,3.9,3.7,4.2,4.1,4.4,8.9,12.8,17.1,12.2,14,14.7,28.7,35129,50.1,322837,1372,19.4,13.3,17.6,22.6,28.4,18.1,46.5,45.1,71.1,4.5,76.9,9.5,3.6,1,0.1,5.5,3.4,30.5,9.6,15.1,4.7,25.3,11.5,5.5
